locus_tag	ftype	length_bp	gene	EC_number	COG	product
prokka_26386	CDS	516	ompX_8		COG3637	Outer membrane protein X
prokka_26387	CDS	888	rhtA_3		COG5006	Threonine/homoserine exporter RhtA
prokka_26388	CDS	1224	bluF_7			Blue light- and temperature-regulated antirepressor BluF
prokka_26389	CDS	624	Int-Tn_1			Transposase from transposon Tn916
prokka_26390	CDS	639				hypothetical protein
prokka_26391	CDS	1161	ampC_368	3.5.2.6		Beta-lactamase
prokka_26392	CDS	252				hypothetical protein
prokka_26393	CDS	219				hypothetical protein
prokka_26394	CDS	123	rho_2	3.6.4.-	COG1158	Transcription termination factor Rho
prokka_26395	CDS	360	rnpA	3.1.26.5	COG0594	Ribonuclease P protein component
prokka_26396	CDS	243	xseB	3.1.11.6	COG1722	Exodeoxyribonuclease 7 small subunit
prokka_26397	CDS	900	ispA	2.5.1.10	COG0142	Farnesyl diphosphate synthase
prokka_26398	CDS	246				hypothetical protein
prokka_26399	CDS	93				hypothetical protein
prokka_26400	CDS	663	ybdL	2.6.1.88	COG0436	Methionine aminotransferase
prokka_26401	CDS	165	ybdM_2		COG1475	putative protein YbdM
prokka_26402	CDS	321				hypothetical protein
prokka_26403	CDS	387				hypothetical protein
prokka_26404	CDS	1209				hypothetical protein
prokka_26405	CDS	540				hypothetical protein
prokka_26406	CDS	483	umuC_5		COG0389	Protein UmuC
prokka_26407	CDS	204				hypothetical protein
prokka_26408	CDS	309				hypothetical protein
prokka_26409	CDS	1032	tycC_2			Tyrocidine synthase 3
prokka_26410	CDS	402	def_1	3.5.1.88	COG0242	Peptide deformylase
prokka_26411	CDS	141	def_2	3.5.1.88	COG0242	Peptide deformylase
prokka_26412	CDS	183				hypothetical protein
prokka_26413	CDS	1116	elmGT	2.4.1.331		Elloramycin glycosyltransferase ElmGT
prokka_26414	CDS	747				hypothetical protein
prokka_26415	CDS	228				hypothetical protein
prokka_26416	CDS	231				hypothetical protein
prokka_26417	tRNA	77				tRNA-Asp(gtc)
prokka_26418	CDS	480				IS3 family transposase IS1351
prokka_26419	CDS	267				IS3 family transposase IS1400
prokka_26420	CDS	1071	dadX_5	5.1.1.1	COG0787	Alanine racemase, catabolic
prokka_26421	CDS	141	cvrA_1		COG3263	K(+)/H(+) antiporter NhaP2
prokka_26422	CDS	795	ycfH_3	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
prokka_26423	CDS	729	holB_2	2.7.7.7	COG0470	DNA polymerase III subunit delta'
prokka_26424	CDS	132				hypothetical protein
prokka_26425	CDS	903	pgrR_20			HTH-type transcriptional regulator PgrR
prokka_26426	CDS	378				hypothetical protein
prokka_26427	CDS	552	glsA2_5	3.5.1.2	COG2066	Glutaminase 2
prokka_26428	CDS	369				hypothetical protein
prokka_26429	CDS	204				hypothetical protein
prokka_26430	CDS	714	dtpC_4		COG3104	Dipeptide and tripeptide permease C
prokka_26431	CDS	432				hypothetical protein
prokka_26432	CDS	996	wecH	2.3.1.-	COG3274	O-acetyltransferase WecH
prokka_26433	CDS	306				hypothetical protein
prokka_26434	CDS	531				hypothetical protein
prokka_26435	CDS	669				hypothetical protein
prokka_26436	CDS	123				hypothetical protein
prokka_26437	CDS	225				hypothetical protein
prokka_26438	CDS	375				hypothetical protein
prokka_26439	CDS	225				hypothetical protein
prokka_26440	CDS	834				hypothetical protein
prokka_26441	CDS	1314	tagE	2.4.1.52	COG0438	Poly(glycerol-phosphate) alpha-glucosyltransferase
prokka_26442	CDS	957				hypothetical protein
prokka_26443	CDS	153	hspQ		COG3785	Heat shock protein HspQ
prokka_26444	CDS	840	argE_1	3.5.1.16	COG0624	Acetylornithine deacetylase
prokka_26445	CDS	1404				hypothetical protein
prokka_26446	CDS	810	cscB			Sucrose permease
prokka_26447	CDS	180				hypothetical protein
prokka_26448	CDS	303				hypothetical protein
prokka_26449	CDS	459	mnmE_3	3.6.-.-		tRNA modification GTPase MnmE
prokka_26450	CDS	273				hypothetical protein
prokka_26451	CDS	936	ampR_38			HTH-type transcriptional activator AmpR
prokka_26452	CDS	123	rho_3	3.6.4.-	COG1158	Transcription termination factor Rho
prokka_26453	CDS	219				hypothetical protein
prokka_26454	CDS	297				hypothetical protein
prokka_26455	CDS	144				hypothetical protein
prokka_26456	CDS	675	emtA	4.2.2.-	COG0741	Endo-type membrane-bound lytic murein transglycosylase A
prokka_26457	CDS	828	fhuA_38		COG1629	Ferrichrome outer membrane transporter/phage receptor
prokka_26458	CDS	1449	fadD	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
prokka_26459	CDS	138				hypothetical protein
prokka_26460	CDS	429	lpdG	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
prokka_26461	CDS	993	bfmBAA	1.2.4.4	COG1071	2-oxoisovalerate dehydrogenase subunit alpha
prokka_26462	CDS	987	bfmBAB_2	1.2.4.4	COG0022	2-oxoisovalerate dehydrogenase subunit beta
prokka_26463	CDS	285				hypothetical protein
prokka_26464	CDS	534				hypothetical protein
prokka_26465	CDS	576				hypothetical protein
prokka_26466	CDS	459				hypothetical protein
prokka_26467	CDS	816	mdlB_6	7.6.2.2	COG1132	Multidrug resistance-like ATP-binding protein MdlB
prokka_26468	CDS	150				hypothetical protein
prokka_26469	CDS	240	ddc	4.1.1.86	COG0076	L-2,4-diaminobutyrate decarboxylase
prokka_26470	CDS	246				hypothetical protein
prokka_26471	CDS	279				hypothetical protein
prokka_26472	CDS	249				hypothetical protein
prokka_26473	CDS	534	rrrD_1	3.2.1.17	COG3772	Lysozyme RrrD
prokka_26474	CDS	564				hypothetical protein
prokka_26475	CDS	486	ampR_39			HTH-type transcriptional activator AmpR
prokka_26476	CDS	1161	ampC_369	3.5.2.6		Beta-lactamase
prokka_26477	CDS	639				hypothetical protein
prokka_26478	CDS	825				hypothetical protein
prokka_26479	CDS	705	tdcD_1	2.7.2.15	COG0282	Propionate kinase
prokka_26480	CDS	540				hypothetical protein
prokka_26481	CDS	696	ubiA	2.5.1.39	COG0382	4-hydroxybenzoate octaprenyltransferase
prokka_26482	CDS	162	plsB_1	2.3.1.15	COG2937	Glycerol-3-phosphate acyltransferase
prokka_26483	CDS	624	Int-Tn_2			Transposase from transposon Tn916
prokka_26484	CDS	894	penPC_19	3.5.2.6		Beta-lactamase 1
prokka_26485	CDS	519	araG_2	7.5.2.12	COG1129	Arabinose import ATP-binding protein AraG
prokka_26486	CDS	201				hypothetical protein
prokka_26487	CDS	420				hypothetical protein
prokka_26488	CDS	876	bla_359	3.5.2.6	COG2367	Beta-lactamase OXY-1
prokka_26489	CDS	414				hypothetical protein
prokka_26490	CDS	606	lysU_12	6.1.1.6	COG1190	Lysine--tRNA ligase, heat inducible
prokka_26491	CDS	639	yajO_6	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
prokka_26492	CDS	381				hypothetical protein
prokka_26493	CDS	822	iolS_2	1.1.1.-	COG0667	Aldo-keto reductase IolS
prokka_26494	CDS	681	yajO_7	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
prokka_26495	CDS	180				hypothetical protein
prokka_26496	CDS	606	cysC	2.7.1.25	COG0529	Adenylyl-sulfate kinase
prokka_26497	CDS	681	cysN_1	2.7.7.4	COG2895	Sulfate adenylyltransferase subunit 1
prokka_26498	CDS	252				hypothetical protein
prokka_26499	CDS	189				hypothetical protein
prokka_26500	CDS	273				hypothetical protein
prokka_26501	CDS	285	tehB	2.1.1.265	COG0500	Tellurite methyltransferase
prokka_26502	CDS	774	pepT	3.4.11.4		Peptidase T
prokka_26503	CDS	1296				hypothetical protein
prokka_26504	CDS	147				hypothetical protein
prokka_26505	CDS	240				hypothetical protein
prokka_26506	CDS	351				hypothetical protein
prokka_26507	CDS	378				hypothetical protein
prokka_26508	CDS	1920	tet(M)_21			tetracycline resistance ribosomal protection protein Tet(M)
prokka_26509	CDS	378				hypothetical protein
prokka_26510	CDS	1482	tet(O)_27			tetracycline resistance ribosomal protection protein Tet(O)
prokka_26511	CDS	489	tetO_18			Tetracycline resistance protein TetO
prokka_26512	CDS	1920	tet(W)_31			tetracycline resistance ribosomal protection protein Tet(W)
prokka_26513	CDS	534	recQ_5	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
prokka_26514	CDS	792	thyA1_455	2.1.1.45	COG0207	Thymidylate synthase 1
prokka_26515	CDS	495	dfrA_674	1.5.1.3	COG0262	Dihydrofolate reductase
prokka_26516	CDS	843	thyA_660	2.1.1.45	COG0207	Thymidylate synthase
prokka_26517	CDS	438	nupC_2		COG1972	Nucleoside permease NupC
prokka_26518	CDS	1179	nupC_3		COG1972	Nucleoside permease NupC
prokka_26519	CDS	1269				hypothetical protein
prokka_26520	tRNA	90				tRNA-Ser(gga)
prokka_26521	CDS	495	folA_412	1.5.1.3		Dihydrofolate reductase
prokka_26522	CDS	954	thyA_661	2.1.1.45	COG0207	Thymidylate synthase
prokka_26523	CDS	882	uup_2		COG0488	ABC transporter ATP-binding protein uup
prokka_26524	CDS	555				hypothetical protein
prokka_26525	CDS	519	ptpA_40	3.1.3.48	COG0394	putative low molecular weight protein-tyrosine-phosphatase
prokka_26526	CDS	222				hypothetical protein
prokka_26527	CDS	801	thyA_662	2.1.1.45	COG0207	Thymidylate synthase ThyA
prokka_26528	CDS	105				hypothetical protein
prokka_26529	CDS	495	dfrA_675	1.5.1.3	COG0262	Dihydrofolate reductase
prokka_26530	CDS	792	thyA1_456	2.1.1.45	COG0207	Thymidylate synthase 1
prokka_26531	CDS	534	recQ_6	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
prokka_26532	tRNA	90				tRNA-Ser(gga)
prokka_26533	CDS	843	thyA_663	2.1.1.45	COG0207	Thymidylate synthase
prokka_26534	CDS	489	dfrA_676	1.5.1.3	COG0262	Dihydrofolate reductase
prokka_26535	tRNA	90				tRNA-Ser(gga)
prokka_26536	CDS	528	thyA_664	2.1.1.45	COG0207	Thymidylate synthase ThyA
prokka_26537	CDS	660	folA_413	1.5.1.3	COG0262	Dihydrofolate reductase
prokka_26538	CDS	249				hypothetical protein
prokka_26539	CDS	561				hypothetical protein
prokka_26540	CDS	243	thyA1_457	2.1.1.45	COG0207	Thymidylate synthase 1
prokka_26541	CDS	492	dfrA_677	1.5.1.3	COG0262	Dihydrofolate reductase
prokka_26542	CDS	618	thyA_665	2.1.1.45	COG0207	Thymidylate synthase ThyA
prokka_26543	CDS	105				hypothetical protein
prokka_26544	CDS	663				hypothetical protein
prokka_26545	CDS	519	ptpA_41	3.1.3.48	COG0394	putative low molecular weight protein-tyrosine-phosphatase
prokka_26546	CDS	222				hypothetical protein
prokka_26547	CDS	333				hypothetical protein
prokka_26548	CDS	549				hypothetical protein
prokka_26549	CDS	561	recQ_7	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
prokka_26550	CDS	792	thyA1_458	2.1.1.45	COG0207	Thymidylate synthase 1
prokka_26551	CDS	495	dfrA_678	1.5.1.3	COG0262	Dihydrofolate reductase
prokka_26552	CDS	219				hypothetical protein
prokka_26553	CDS	132				hypothetical protein
prokka_26554	CDS	381				hypothetical protein
prokka_26555	tRNA	90				tRNA-Ser(gga)
prokka_26556	CDS	645	bcrA_2			Bacitracin transport ATP-binding protein BcrA
prokka_26557	CDS	486				IS1595 family transposase ISSsu9
prokka_26558	CDS	1653				hypothetical protein
prokka_26559	CDS	339			COG0718	Nucleoid-associated protein
prokka_26560	CDS	1257	uup_3		COG0488	ABC transporter ATP-binding protein uup
prokka_26561	CDS	954	thyA_666	2.1.1.45	COG0207	Thymidylate synthase
prokka_26562	CDS	495	folA_414	1.5.1.3		Dihydrofolate reductase
prokka_26563	CDS	1170	queG_2	1.17.99.6	COG1600	Epoxyqueuosine reductase
prokka_26564	CDS	630	lexA_4	3.4.21.88	COG1974	LexA repressor
prokka_26565	CDS	357	asd_1	1.2.1.11		Aspartate-semialdehyde dehydrogenase
prokka_26566	CDS	666				hypothetical protein
prokka_26567	CDS	882	thyA_667	2.1.1.45	COG0207	Thymidylate synthase ThyA
prokka_26568	CDS	228				hypothetical protein
prokka_26569	CDS	285	kefC_5		COG0475	Glutathione-regulated potassium-efflux system protein KefC
prokka_26570	CDS	480				IS1595 family transposase ISSsu9
prokka_26571	CDS	849	apaH_12	3.6.1.41	COG0639	Bis(5'-nucleosyl)-tetraphosphatase, symmetrical
prokka_26572	CDS	282	apaG_2		COG2967	Protein ApaG
prokka_26573	CDS	369				hypothetical protein
prokka_26574	CDS	546	ptpA_42	3.1.3.48	COG0394	putative low molecular weight protein-tyrosine-phosphatase
prokka_26575	CDS	663				hypothetical protein
prokka_26576	CDS	249				hypothetical protein
prokka_26577	CDS	366	thyA_668	2.1.1.45	COG0207	Thymidylate synthase
prokka_26578	CDS	495	dfrA_679	1.5.1.3	COG0262	Dihydrofolate reductase
prokka_26579	CDS	774	yjjW	1.97.1.-	COG1180	Putative glycyl-radical enzyme activating enzyme YjjW
prokka_26580	CDS	129				hypothetical protein
prokka_26581	CDS	255				hypothetical protein
prokka_26582	CDS	1230	clpX_16			ATP-dependent Clp protease ATP-binding subunit ClpX
prokka_26583	CDS	171				hypothetical protein
prokka_26584	CDS	495	dhfR_72	1.5.1.3	COG0262	Dihydrofolate reductase
prokka_26585	CDS	366	thyA_669	2.1.1.45	COG0207	Thymidylate synthase
prokka_26586	CDS	1233	mdfA_59			Multidrug transporter MdfA
prokka_26587	CDS	279				hypothetical protein
prokka_26588	CDS	300	ybjI_49	3.1.3.104	COG0561	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI
prokka_26589	CDS	240				hypothetical protein
prokka_26590	CDS	330				hypothetical protein
prokka_26591	CDS	435				hypothetical protein
prokka_26592	CDS	327				hypothetical protein
prokka_26593	CDS	828	racE_18	5.1.1.3	COG0796	Glutamate racemase 1
prokka_26594	CDS	1068	ddl_644	6.3.2.4		D-alanine--D-alanine ligase
prokka_26595	CDS	738				hypothetical protein
prokka_26596	CDS	483				hypothetical protein
prokka_26597	CDS	201				hypothetical protein
prokka_26598	CDS	1059	ddl_645	6.3.2.4	COG1181	D-alanine--D-alanine ligase
prokka_26599	CDS	1155	pncB2_37	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase pncB2
prokka_26600	CDS	1239	murC_51	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
prokka_26601	CDS	162				hypothetical protein
prokka_26602	CDS	1188	ddlA_152	6.3.2.4	COG1181	D-alanine--D-alanine ligase A
prokka_26603	CDS	318				hypothetical protein
prokka_26604	CDS	627				hypothetical protein
prokka_26605	CDS	498				hypothetical protein
prokka_26606	CDS	924				hypothetical protein
prokka_26607	CDS	666				hypothetical protein
prokka_26608	CDS	834	ddl_646	6.3.2.4		D-alanine--D-alanine ligase
prokka_26609	CDS	303				hypothetical protein
prokka_26610	CDS	213				hypothetical protein
prokka_26611	CDS	1086	ddl_647	6.3.2.4	COG1181	D-alanine--D-alanine ligase
prokka_26612	CDS	204				hypothetical protein
prokka_26613	CDS	627	copA_6	7.2.2.8	COG2217	Copper-exporting P-type ATPase
prokka_26614	CDS	1371	murF_88	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
prokka_26615	CDS	1056	ddl_648	6.3.2.4		D-alanine--D-alanine ligase
prokka_26616	CDS	1449	pncB2_38	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase pncB2
prokka_26617	CDS	429	plsC_3	2.3.1.51	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
prokka_26618	CDS	510	trmL_6	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
prokka_26619	CDS	1170	dapX_68	2.6.1.-	COG0436	putative N-acetyl-LL-diaminopimelate aminotransferase
prokka_26620	CDS	321				hypothetical protein
prokka_26621	CDS	1041	ddl_649	6.3.2.4		D-alanine--D-alanine ligase
prokka_26622	CDS	468	murF_89	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
prokka_26623	CDS	360				hypothetical protein
prokka_26624	CDS	1053	ddl_650	6.3.2.4	COG1181	D-alanine--D-alanine ligase
prokka_26625	CDS	336				hypothetical protein
prokka_26626	CDS	933	ddl_651	6.3.2.4		D-alanine--D-alanine ligase
prokka_26627	CDS	93				hypothetical protein
prokka_26628	CDS	657				hypothetical protein
prokka_26629	CDS	1533	pdtaS_64	2.7.13.3	COG3920	putative sensor histidine kinase pdtaS
prokka_26630	CDS	279	whiB1_70			Transcriptional regulator WhiB1
prokka_26631	CDS	1821				hypothetical protein
prokka_26632	CDS	732	tauR		COG1167	HTH-type transcriptional regulator TauR
prokka_26633	CDS	675	lysN_7	2.6.1.39	COG1167	2-aminoadipate transaminase
prokka_26634	CDS	990	murC_52	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
prokka_26635	CDS	933	ddl_652	6.3.2.4		D-alanine--D-alanine ligase
prokka_26636	CDS	969	ftsQ_56			Cell division protein FtsQ
prokka_26637	CDS	180				hypothetical protein
prokka_26638	CDS	810	yidA_2	3.1.3.23	COG0561	Sugar phosphatase YidA
prokka_26639	CDS	1371	murF_90	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
prokka_26640	CDS	1056	ddl_653	6.3.2.4		D-alanine--D-alanine ligase
prokka_26641	CDS	1305	pncB2_39	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase pncB2
prokka_26642	CDS	1155				hypothetical protein
prokka_26643	CDS	1827				hypothetical protein
prokka_26644	CDS	279	whiB1_71			Transcriptional regulator WhiB1
prokka_26645	CDS	306	pdtaS_65	2.7.13.3	COG3920	putative sensor histidine kinase pdtaS
prokka_26646	CDS	714				hypothetical protein
prokka_26647	CDS	1056	ddl_654	6.3.2.4		D-alanine--D-alanine ligase
prokka_26648	CDS	1380	murF_91	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
prokka_26649	CDS	222				hypothetical protein
prokka_26650	CDS	510				hypothetical protein
prokka_26651	CDS	201	atpD_5			ATP synthase subunit delta
prokka_26652	CDS	1521	atpA_2	7.1.2.2	COG0056	ATP synthase subunit alpha
prokka_26653	CDS	567	efp_54		COG0231	Elongation factor P
prokka_26654	CDS	126				hypothetical protein
prokka_26655	CDS	147				hypothetical protein
prokka_26656	CDS	318	gdx_151		COG2076	Guanidinium exporter
prokka_26657	CDS	534	blc_161		COG3040	Outer membrane lipoprotein Blc
prokka_26658	CDS	1167	ampC_370	3.5.2.6	COG1680	Beta-lactamase
prokka_26659	CDS	294	frdD_125		COG3080	Fumarate reductase subunit D
prokka_26660	CDS	555	glcR		COG1349	HTH-type transcriptional repressor GlcR
prokka_26661	CDS	861	bla_360	3.5.2.6	COG2367	Beta-lactamase SHV-1
prokka_26662	CDS	261				hypothetical protein
prokka_26663	CDS	672				hypothetical protein
prokka_26664	CDS	204				hypothetical protein
prokka_26665	CDS	204				hypothetical protein
prokka_26666	CDS	1194	Int-Tn_3			Transposase from transposon Tn916
prokka_26667	CDS	894	penPC_20	3.5.2.6		Beta-lactamase 1
prokka_26668	CDS	1242				IS256 family transposase ISCth4
prokka_26669	CDS	513				hypothetical protein
prokka_26670	CDS	369				hypothetical protein
prokka_26671	CDS	249				hypothetical protein
prokka_26672	CDS	342	marA_170			Multiple antibiotic resistance protein MarA
prokka_26673	CDS	1173			COG2220	putative protein
prokka_26674	CDS	204				hypothetical protein
prokka_26675	CDS	330	soxS_117			Regulatory protein SoxS
prokka_26676	CDS	324				hypothetical protein
prokka_26677	CDS	1080	Int-Tn_4			Transposase from transposon Tn916
prokka_26678	CDS	894	penPC_21	3.5.2.6		Beta-lactamase 1
prokka_26679	CDS	1728				hypothetical protein
prokka_26680	CDS	921				hypothetical protein
prokka_26681	CDS	222				hypothetical protein
prokka_26682	CDS	363	marA_171			Multiple antibiotic resistance protein MarA
prokka_26683	CDS	534	melA_6	3.2.1.22	COG1486	Alpha-galactosidase
prokka_26684	CDS	405				hypothetical protein
prokka_26685	CDS	351	marA_172			Multiple antibiotic resistance protein MarA
prokka_26686	CDS	951	Int-Tn_5			Transposase from transposon Tn916
prokka_26687	CDS	894	penPC_22	3.5.2.6		Beta-lactamase 1
prokka_26688	CDS	1242				IS256 family transposase ISCth4
prokka_26689	CDS	276				hypothetical protein
prokka_26690	CDS	228				hypothetical protein
prokka_26691	CDS	369				hypothetical protein
prokka_26692	CDS	915	eamA_70		COG0697	putative amino-acid metabolite efflux pump
prokka_26693	CDS	207				hypothetical protein
prokka_26694	CDS	354	marA_173			Multiple antibiotic resistance protein MarA
prokka_26695	CDS	435	marR_92		COG1846	Multiple antibiotic resistance protein MarR
prokka_26696	CDS	324				hypothetical protein
prokka_26697	CDS	1920	tet(O)_28			tetracycline resistance ribosomal protection protein Tet(O)
prokka_26698	CDS	513				hypothetical protein
prokka_26699	CDS	1242				IS256 family transposase ISCth4
prokka_26700	CDS	786	penPC_23	3.5.2.6		Beta-lactamase 1
prokka_26701	CDS	951	Int-Tn_6			Transposase from transposon Tn916
prokka_26702	CDS	861	bla_361	3.5.2.6	COG2367	Beta-lactamase SHV-1
prokka_26703	CDS	261				hypothetical protein
prokka_26704	CDS	288				hypothetical protein
prokka_26705	CDS	462				hypothetical protein
prokka_26706	CDS	1920	tet(O)_29			tetracycline resistance ribosomal protection protein Tet(O)
prokka_26707	CDS	375				hypothetical protein
prokka_26708	CDS	846				hypothetical protein
prokka_26709	CDS	1920	tet(32)_13			tetracycline resistance ribosomal protection protein Tet(32)
prokka_26710	CDS	1920	tet(M)_22			tetracycline resistance ribosomal protection protein Tet(M)
prokka_26711	CDS	354				hypothetical protein
prokka_26712	CDS	189				hypothetical protein
prokka_26713	CDS	186				hypothetical protein
prokka_26714	CDS	267	araE_1		COG0477	Arabinose-proton symporter
prokka_26715	CDS	375				hypothetical protein
prokka_26716	CDS	1920	tet(O)_30			tetracycline resistance ribosomal protection protein Tet(O)
prokka_26717	CDS	462				hypothetical protein
prokka_26718	CDS	432				hypothetical protein
prokka_26719	CDS	687				hypothetical protein
prokka_26720	CDS	141				hypothetical protein
prokka_26721	CDS	1848	tet(W)_32			tetracycline resistance ribosomal protection protein Tet(W)
prokka_26722	CDS	810			COG2826	IS30 family transposase ISBlo4
prokka_26723	CDS	513				IS21 family transposase ISBlo2
prokka_26724	CDS	477				hypothetical protein
prokka_26725	CDS	369				hypothetical protein
prokka_26726	CDS	546	ptpA_43	3.1.3.48	COG0394	putative low molecular weight protein-tyrosine-phosphatase
prokka_26727	CDS	171				hypothetical protein
prokka_26728	CDS	642				hypothetical protein
prokka_26729	CDS	849	thyA1_459	2.1.1.45	COG0207	Thymidylate synthase 1
prokka_26730	CDS	492	dfrA_680	1.5.1.3	COG0262	Dihydrofolate reductase
prokka_26731	CDS	456	ilvE_63	2.6.1.42		putative branched-chain-amino-acid aminotransferase
prokka_26732	CDS	873	thyA_670	2.1.1.45	COG0207	Thymidylate synthase ThyA
prokka_26733	CDS	105				hypothetical protein
prokka_26734	CDS	663				hypothetical protein
prokka_26735	CDS	519	ptpA_44	3.1.3.48	COG0394	putative low molecular weight protein-tyrosine-phosphatase
prokka_26736	CDS	222				hypothetical protein
prokka_26737	CDS	333				hypothetical protein
prokka_26738	CDS	804				hypothetical protein
prokka_26739	CDS	171				hypothetical protein
prokka_26740	CDS	417				hypothetical protein
prokka_26741	CDS	297				hypothetical protein
prokka_26742	CDS	291				hypothetical protein
prokka_26743	CDS	267	yyaP_5		COG0262	putative protein YyaP
prokka_26744	CDS	681	thyA1_460	2.1.1.45	COG0207	Thymidylate synthase 1
prokka_26745	CDS	495	dfrA_681	1.5.1.3	COG0262	Dihydrofolate reductase
prokka_26746	CDS	495				IS1595 family transposase ISSsu9
prokka_26747	CDS	378				hypothetical protein
prokka_26748	CDS	417				hypothetical protein
prokka_26749	CDS	144				hypothetical protein
prokka_26750	CDS	936	hom_26	1.1.1.3	COG0460	Homoserine dehydrogenase
prokka_26751	CDS	819	thyA1_461	2.1.1.45	COG0207	Thymidylate synthase 1
prokka_26752	CDS	492	dfrD_223	1.5.1.3		Dihydrofolate reductase
prokka_26753	CDS	309				hypothetical protein
prokka_26754	CDS	603				hypothetical protein
prokka_26755	CDS	480				hypothetical protein
prokka_26756	CDS	378				hypothetical protein
prokka_26757	CDS	417				hypothetical protein
prokka_26758	CDS	144				hypothetical protein
prokka_26759	CDS	852				IS91 family transposase ISMno24
prokka_26760	CDS	1161				IS91 family transposase ISAzo26
prokka_26761	CDS	216				hypothetical protein
prokka_26762	CDS	780				hypothetical protein
prokka_26763	CDS	624	cat3_12	2.3.1.28		Chloramphenicol acetyltransferase 3
prokka_26764	CDS	453				hypothetical protein
prokka_26765	CDS	519				hypothetical protein
prokka_26766	CDS	174				hypothetical protein
prokka_26767	CDS	990				hypothetical protein
prokka_26768	CDS	447				hypothetical protein
prokka_26769	CDS	570	pdtaS_66	2.7.13.3	COG3920	putative sensor histidine kinase pdtaS
prokka_26770	CDS	279	whiB1_72			Transcriptional regulator WhiB1
prokka_26771	CDS	312				hypothetical protein
prokka_26772	CDS	408	ddl_655	6.3.2.4	COG1181	D-alanine--D-alanine ligase
prokka_26773	CDS	1062	ddl_656	6.3.2.4	COG1181	D-alanine--D-alanine ligase
prokka_26774	CDS	1920	tet(M)_23			tetracycline resistance ribosomal protection protein Tet(M)
prokka_26775	CDS	354				hypothetical protein
prokka_26776	CDS	147				hypothetical protein
prokka_26777	CDS	423				hypothetical protein
prokka_26778	CDS	1386				hypothetical protein
prokka_26779	CDS	375				hypothetical protein
prokka_26780	CDS	1920	tet(O)_31			tetracycline resistance ribosomal protection protein Tet(O)
prokka_26781	CDS	174				hypothetical protein
prokka_26782	CDS	588				hypothetical protein
prokka_26783	CDS	591				hypothetical protein
prokka_26784	CDS	1920	tet(32)_14			tetracycline resistance ribosomal protection protein Tet(32)
prokka_26785	CDS	1920	tet(W)_33			tetracycline resistance ribosomal protection protein Tet(W)
prokka_26786	CDS	261				hypothetical protein
prokka_26787	CDS	1920	tet(32)_15			tetracycline resistance ribosomal protection protein Tet(32)
prokka_26788	CDS	141				hypothetical protein
prokka_26789	CDS	747				hypothetical protein
prokka_26790	CDS	678				hypothetical protein
prokka_26791	CDS	849	thyA1_462	2.1.1.45	COG0207	Thymidylate synthase 1
prokka_26792	CDS	492	dfrA_682	1.5.1.3	COG0262	Dihydrofolate reductase
prokka_26793	CDS	456	ilvE_64	2.6.1.42		putative branched-chain-amino-acid aminotransferase
prokka_26794	CDS	672				hypothetical protein
prokka_26795	CDS	480				hypothetical protein
prokka_26796	CDS	495				IS1595 family transposase ISSsu9
prokka_26797	CDS	378				hypothetical protein
prokka_26798	CDS	417				hypothetical protein
prokka_26799	CDS	144				hypothetical protein
prokka_26800	CDS	345				hypothetical protein
prokka_26801	CDS	426	dfrA_683	1.5.1.3	COG0262	Dihydrofolate reductase
prokka_26802	CDS	696	thyA1_463	2.1.1.45	COG0207	Thymidylate synthase 1
prokka_26803	CDS	210				hypothetical protein
prokka_26804	CDS	801	thyA_671	2.1.1.45	COG0207	Thymidylate synthase ThyA
prokka_26805	CDS	105				hypothetical protein
prokka_26806	CDS	663				hypothetical protein
prokka_26807	CDS	519	ptpA_45	3.1.3.48	COG0394	putative low molecular weight protein-tyrosine-phosphatase
prokka_26808	CDS	222				hypothetical protein
prokka_26809	CDS	333				hypothetical protein
prokka_26810	CDS	684				hypothetical protein
prokka_26811	CDS	486	dfrA_684	1.5.1.3	COG0262	Dihydrofolate reductase
prokka_26812	CDS	696	thyA1_464	2.1.1.45	COG0207	Thymidylate synthase 1
prokka_26813	CDS	639				hypothetical protein
